Time,V.A.POS.C,A.POS.Z,V.PLC.R[201],V.PLC.R[202],V.PLC.R[203],V.PLC.R[204],V.PLC.R[205],V.PLC.R[206],V.PLC.R[207],V.PLC.R[208],V.PLC.R[209],V.PLC.R[210],V.PLC.R[211],V.PLC.R[212],V.A.FEED.Z,V.A.FEED.Z1,A.ACCEL.Z,A.ACCEL.Z1
1679919018256,0.001,3149.9988000000003,-0.2199,10.8484,32.5,32.5,0.0,0.0,134258.639,134266.2,-17.7697,31.0616,0.4,3.5,7.5e-05,0.0001,0.0,0.125
1679919018260,142.9991,0.0,2.5655,6.8902,33.800000000000004,31.3,0.0,0.0,134282.458,134219.818,-0.3906,-0.1187,0.9,2.9000000000000004,0.0,0.0,0.0,0.0
1679919018264,142.9991,0.0,2.4189000000000003,7.1101,33.800000000000004,31.3,0.0,0.0,134282.458,134219.818,-0.3906,-0.1187,0.9,2.9000000000000004,0.0,0.0,0.0,0.0
1679919018268,142.9991,0.0,2.6388000000000003,6.8902,33.800000000000004,31.3,0.0,0.0,134282.458,134219.818,-0.3906,-0.1187,0.9,2.9000000000000004,0.0,0.0,0.0,0.0
1679919018272,142.9991,0.0,2.3456,6.8169,33.800000000000004,31.3,0.0,0.0,134279.358,134219.818,-0.3906,-0.1187,0.9,2.9000000000000004,0.0,0.0,0.0,0.0
1679919018276,142.9991,0.0,2.5655,6.8902,33.800000000000004,31.3,0.0,0.0,134279.358,134219.818,-0.3906,-0.1187,0.9,2.9000000000000004,0.0,0.0,0.0,0.0
1679919018280,142.9991,0.0,2.6388000000000003,7.2567,33.800000000000004,31.3,0.0,0.0,134279.358,134219.818,-0.3906,-0.1187,0.9,2.9000000000000004,0.0,0.0,0.0,0.0
1679919018284,142.9991,0.0,2.7121,7.183400000000001,33.800000000000004,31.3,0.0,0.0,134279.358,134219.818,-0.3906,-0.1187,0.9,2.9000000000000004,0.0,0.0,0.0,0.0
1679919018288,142.9991,0.0,2.5655,7.1101,33.800000000000004,31.3,0.0,0.0,134279.358,134219.818,-0.3906,-0.1187,0.9,2.9000000000000004,0.0,0.0,0.0,0.0
1679919018292,142.9991,0.0,2.5655,6.8169,33.800000000000004,31.3,0.0,0.0,134279.358,134219.818,0.2986,-0.1187,0.9,2.9000000000000004,0.0,0.0,0.0,0.0
1679919018296,142.9991,0.0,2.1990000000000003,7.183400000000001,33.800000000000004,31.3,0.0,0.0,134279.358,134219.818,0.2986,-0.1187,0.9,2.9000000000000004,0.0,0.0,0.0,0.0
1679919018300,142.9991,0.0,2.5655,7.0368,33.800000000000004,31.3,0.0,0.0,134279.358,134219.818,0.2986,-0.1187,0.9,2.9000000000000004,0.0,0.0,0.0,0.0
1679919018304,142.9991,0.0,2.6388000000000003,7.0368,33.800000000000004,31.3,0.0,0.0,134279.358,134219.818,0.2986,-0.1187,0.9,2.9000000000000004,0.0,0.0,0.0,0.0
