Time,V.A.POS.C,A.POS.Z,V.PLC.R[201],V.PLC.R[202],V.PLC.R[203],V.PLC.R[204],V.PLC.R[205],V.PLC.R[206],V.PLC.R[207],V.PLC.R[208],V.PLC.R[209],V.PLC.R[210],V.PLC.R[211],V.PLC.R[212],V.A.FEED.Z,V.A.FEED.Z1,A.ACCEL.Z,A.ACCEL.Z1
1679921049168,359.9993,3149.9988000000003,0.0,11.1416,37.5,36.3,-0.01,0.0,134280.554,134270.41,-6.458,4.8015,0.2,4.0,7.5e-05,5e-05,0.0,-0.125
1679921049172,199.0005,0.0,2.2723,6.8902,37.5,36.3,0.0,0.0,134219.341,134280.51,-0.1694,-0.2754,0.8,2.7,0.0,0.0,0.0,0.0
1679921049176,199.0005,0.0001,2.4189000000000003,6.8902,37.5,36.3,0.0,0.0,134219.341,134280.51,-0.1694,-0.2754,0.8,2.7,2.5e-05,0.0,0.0625,0.0
1679921049180,199.0005,0.0,2.1257,6.8169,37.5,36.3,0.0,0.0,134281.57,134280.51,-0.1694,-0.2754,0.8,2.7,-2.5e-05,0.0,-0.125,0.0
1679921049184,199.0005,0.0,1.9791,6.6703,37.5,36.3,0.0,0.0,134281.57,134280.51,-0.1694,-0.1304,0.8,2.7,0.0,0.0,0.0625,0.0
1679921049188,199.0005,0.0001,1.9791,6.6703,37.5,36.3,0.0,0.0,134281.57,134280.51,-0.1694,-0.1304,0.8,2.7,2.5e-05,0.0,0.0625,0.0
1679921049192,199.0005,0.0,2.2723,6.6703,37.5,36.3,0.0,0.0,134281.57,134280.51,-0.1694,-0.1304,0.8,2.7,-2.5e-05,0.0,-0.125,0.0
1679921049196,199.0005,0.0,2.4189000000000003,6.6703,37.5,36.3,0.0,0.0,134281.57,134280.51,-0.1694,-0.1304,0.8,2.7,0.0,0.0,0.0625,0.0
1679921049200,199.0005,0.0,2.4189000000000003,7.0368,37.5,36.3,0.0,0.0,134281.57,134280.51,0.2256,-0.1304,0.8,2.7,0.0,0.0,0.0,0.0
1679921049204,199.0005,0.0,2.1257,6.8169,37.5,36.3,0.0,0.0,134281.57,134280.51,0.2256,-0.1304,0.8,2.7,0.0,0.0,0.0,0.0
1679921049208,199.0005,0.0,2.2723,6.8169,37.5,36.3,0.0,0.0,134281.57,134280.51,0.2256,-0.1304,0.8,2.7,0.0,0.0,0.0,0.0
1679921049212,199.0005,0.0,2.2723,6.8902,37.5,36.3,0.0,0.0,134281.57,134280.51,0.2256,-0.1304,0.8,2.7,0.0,0.0,0.0,0.0
1679921049216,199.0005,0.0001,2.1257,6.8902,37.5,36.3,0.0,0.0,134281.57,134280.51,0.2256,-0.1304,0.3,2.7,2.5e-05,0.0,0.0625,0.0
1679921049220,199.0005,0.0,2.3456,6.6703,37.5,36.3,0.0,0.0,134281.57,134280.51,0.2256,-0.1304,0.3,2.7,-2.5e-05,-2.5e-05,-0.125,-0.0625
1679921049224,199.0005,0.0,2.0524,7.0368,37.5,36.3,0.0,0.0,134281.57,134280.51,0.2256,-0.1304,0.3,2.7,0.0,2.5e-05,0.0625,0.125
1679921049228,199.0005,0.0,2.2723,6.8169,37.5,36.3,0.0,0.0,134281.57,134280.51,0.2256,-0.1304,0.3,2.7,0.0,0.0,0.0,-0.0625
1679921049232,199.0005,0.0,2.4189000000000003,6.6703,37.5,36.3,0.0,0.0,134281.57,134280.51,0.2256,-0.1304,0.3,2.7,0.0,0.0,0.0,0.0
1679921049236,199.0005,0.0,2.4189000000000003,6.8169,37.5,36.3,0.0,0.0,134281.57,134280.51,0.2256,-0.1304,0.3,2.7,0.0,0.0,0.0,0.0
1679921049240,199.0005,0.0,2.3456,6.6703,37.5,36.3,0.0,0.0,134281.57,134280.51,0.2256,-0.1304,0.3,2.7,0.0,-2.5e-05,0.0,-0.0625
1679921049244,199.0005,0.0,2.1257,6.743600000000001,37.5,36.3,0.0,0.0,134281.57,134280.51,0.2256,-0.1304,0.3,2.7,0.0,2.5e-05,0.0,0.125
1679921049248,199.0005,0.0,2.2723,6.8902,37.5,36.3,0.0,0.0,134281.57,134280.51,0.2256,-0.1304,0.3,2.7,0.0,0.0,0.0,-0.0625
1679921049252,199.0005,0.0,2.1257,6.523700000000001,37.5,36.3,0.0,0.0,134281.57,134281.96,0.2256,-0.1304,0.3,2.7,0.0,0.0,0.0,0.0
1679921049256,199.0005,0.0,2.4189000000000003,6.3771,37.5,36.3,0.0,0.0,134281.57,134281.96,0.2256,-0.1304,0.3,2.7,0.0,0.0,0.0,0.0
1679921049260,199.0005,0.0001,1.9058,6.8902,37.5,36.3,0.0,0.0,134281.57,134281.96,0.2256,-0.1304,0.3,2.7,2.5e-05,0.0,0.0625,0.0
1679921049264,199.0005,0.0,2.2723,6.3771,37.5,36.3,0.0,0.0,134281.57,134281.96,0.2256,-0.1304,0.3,2.7,-2.5e-05,0.0,-0.125,0.0
1679921049268,199.0005,0.0,2.2723,6.8902,37.5,36.3,0.0,0.0,134219.984,134281.96,0.2256,-0.1304,0.3,2.7,0.0,0.0,0.0625,0.0
1679921049272,199.0005,0.0,2.2723,6.8902,37.5,36.3,0.0,0.0,134219.984,134281.96,0.2256,-0.197,0.3,2.7,0.0,0.0,0.0,0.0
1679921049276,199.0005,0.0,2.1990000000000003,6.8902,37.5,36.3,0.0,0.0,134219.984,134281.96,0.2256,-0.197,0.3,2.7,0.0,0.0,0.0,0.0
1679921049280,199.0005,0.0,2.2723,6.597,37.5,36.3,0.0,0.0,134219.984,134281.96,0.2256,-0.197,0.3,2.7,0.0,0.0,0.0,0.0
1679921049284,199.0005,0.0,2.1257,6.597,37.5,36.3,0.0,0.0,134219.984,134281.96,0.2256,-0.197,0.3,2.7,0.0,0.0,0.0,0.0
1679921049288,199.0005,0.0,2.2723,6.8169,37.5,36.3,0.0,0.0,134219.984,134281.96,0.0306,-0.197,0.3,2.7,0.0,0.0,0.0,0.0
1679921049292,199.0005,0.0,2.0524,6.743600000000001,37.5,36.3,0.0,0.0,134219.984,134281.96,0.0306,-0.197,0.3,2.7,0.0,0.0,0.0,0.0
1679921049296,199.0005,0.0,2.3456,6.743600000000001,37.5,36.3,0.0,0.0,134219.984,134281.96,0.0306,-0.197,0.3,2.7,0.0,0.0,0.0,0.0
1679921049300,199.0005,0.0,1.8325,6.6703,37.5,36.3,0.0,0.0,134219.984,134281.96,0.0306,-0.197,0.3,2.7,0.0,0.0,0.0,0.0
1679921049304,199.0005,0.0,2.1990000000000003,6.8169,37.5,36.3,0.0,0.0,134219.984,134281.96,0.0306,-0.197,0.8,2.7,0.0,0.0,0.0,0.0
1679921049308,199.0005,0.0,2.4922,7.1101,37.5,36.3,0.0,0.0,134219.984,134281.96,0.0306,-0.197,0.8,2.7,0.0,0.0,0.0,0.0
1679921049312,199.0005,0.0,2.2723,6.8169,37.5,36.3,0.0,0.0,134219.984,134281.96,0.0306,-0.197,0.8,2.7,0.0,0.0,0.0,0.0
