Time,V.A.POS.C,A.POS.Z,V.PLC.R[201],V.PLC.R[202],V.PLC.R[203],V.PLC.R[204],V.PLC.R[205],V.PLC.R[206],V.PLC.R[207],V.PLC.R[208],V.PLC.R[209],V.PLC.R[210],V.PLC.R[211],V.PLC.R[212],V.A.FEED.Z,V.A.FEED.Z1,A.ACCEL.Z,A.ACCEL.Z1
1679567010764,0.0007,3150.0,0.6597000000000001,9.8222,28.8,27.5,0.0,0.0,134281.87900000002,134282.962,-0.1385,0.2953,0.1,3.9,0.0,0.0,0.0,0.0
1679567010768,74.9992,0.0,1.3194,6.2305,28.8,26.3,0.0,0.0,134230.713,134218.402,1.2985,-0.808,0.6000000000000001,2.5,0.0,0.0,0.0,0.0
1679567010772,74.9992,0.0,1.3927,6.1572000000000005,28.8,26.3,0.0,0.0,134230.713,134218.402,-0.4782,-0.808,0.6000000000000001,2.5,0.0,-2.5e-05,0.0,-0.0625
1679567010776,74.9992,0.0,1.2461,5.9373000000000005,28.8,26.3,0.0,0.0,134230.713,134218.402,-0.4782,-0.808,0.6000000000000001,2.5,0.0,0.0,0.0,0.0625
1679567010780,74.9992,0.0,1.5393,6.1572000000000005,28.8,26.3,0.0,0.0,134230.713,134218.402,-0.4782,-0.808,0.6000000000000001,2.5,0.0,2.5e-05,0.0,0.0625
1679567010784,74.9992,0.0,1.5393,6.083900000000001,28.8,26.3,0.0,0.0,134230.713,134218.402,-0.4782,-0.808,0.6000000000000001,2.5,0.0,0.0,0.0,-0.0625
1679567010788,74.9992,0.0,1.3927,6.303800000000001,28.8,26.3,0.0,0.0,134230.713,134218.402,-0.4782,-0.808,0.6000000000000001,2.5,0.0,0.0,0.0,0.0
1679567010792,74.9992,0.0,1.3927,6.1572000000000005,28.8,26.3,0.0,0.0,134230.713,134275.184,-0.4782,-0.808,0.6000000000000001,2.5,0.0,0.0,0.0,0.0
1679567010796,74.9992,0.0,1.4660000000000002,6.2305,28.8,26.3,0.0,0.0,134230.713,134275.184,-0.4782,-0.808,0.6000000000000001,2.5,0.0,0.0,0.0,0.0
1679567010800,74.9992,0.0,1.2461,5.9373000000000005,28.8,26.3,0.0,0.0,134230.713,134275.184,-0.4782,-0.808,0.6000000000000001,2.5,0.0,0.0,0.0,0.0
1679567010804,74.9992,0.0,1.3927,6.2305,28.8,26.3,0.0,0.0,134230.713,134275.184,-0.4782,-0.808,0.6000000000000001,2.5,0.0,0.0,0.0,0.0
1679567010808,74.9992,0.0,1.6126,6.303800000000001,28.8,26.3,0.0,0.0,134230.713,134275.184,-0.4782,-0.808,0.6000000000000001,2.5,0.0,0.0,0.0,0.0
1679567010812,74.9992,0.0,1.1728,5.9373000000000005,28.8,26.3,0.0,0.0,134230.713,134275.184,-0.4782,0.236,0.6000000000000001,2.5,0.0,0.0,0.0,0.0
1679567010816,74.9992,0.0,1.3927,5.9373000000000005,28.8,26.3,0.0,0.0,134230.713,134275.184,-0.4782,0.236,0.6000000000000001,2.5,0.0,0.0,0.0,0.0
1679567010820,74.9992,0.0,1.1728,5.5708,28.8,26.3,0.0,0.0,134230.713,134275.184,-0.4782,0.236,0.6000000000000001,2.5,0.0,0.0,0.0,0.0
1679567010824,74.9992,0.0,1.4660000000000002,6.4504,28.8,26.3,0.0,0.0,134230.713,134275.184,-0.4782,0.236,0.6000000000000001,2.5,0.0,0.0,0.0,0.0
1679567010828,74.9992,0.0,1.0262,6.083900000000001,28.8,26.3,0.0,0.0,134230.713,134275.184,-0.4782,0.236,0.6000000000000001,2.5,0.0,0.0,0.0,0.0
