Time,V.A.POS.C,A.POS.Z,V.PLC.R[201],V.PLC.R[202],V.PLC.R[203],V.PLC.R[204],V.PLC.R[205],V.PLC.R[206],V.PLC.R[207],V.PLC.R[208],V.PLC.R[209],V.PLC.R[210],V.PLC.R[211],V.PLC.R[212],V.A.FEED.Z,V.A.FEED.Z1,A.ACCEL.Z,A.ACCEL.Z1
1679919709116,0.001,3149.9984,0.0,11.0683,33.800000000000004,32.5,0.0,0.0,134219.47,134239.543,-32.5938,1.9954,0.9,2.6,7.5e-05,5e-05,0.0625,-0.0625
1679919709120,0.001,3149.9987,-0.2932,10.5552,33.800000000000004,32.5,0.0,0.0,134219.47,134239.543,-1.0441,1.9954,0.9,2.6,7.5e-05,0.0001,0.0,0.125
1679919709124,162.999,0.0,2.4189000000000003,7.1101,35.0,33.800000000000004,0.0,0.0,134280.662,134219.984,0.1362,-0.1535,0.9,2.7,0.0,0.0,0.0,0.0
1679919709128,162.999,0.0,2.5655,7.183400000000001,35.0,33.800000000000004,0.0,0.0,134280.662,134219.984,0.1362,-0.1535,0.9,2.7,0.0,0.0,0.0,0.0
1679919709132,162.999,0.0,2.3456,6.743600000000001,35.0,33.800000000000004,0.0,0.0,134280.662,134281.729,0.1362,-0.1535,0.9,2.7,0.0,0.0,0.0,0.0
1679919709136,162.999,0.0,2.7854,7.403300000000001,35.0,33.800000000000004,0.0,0.0,134280.662,134281.729,0.1362,-0.1535,1.0,2.7,0.0,0.0,0.0,0.0
1679919709140,162.999,0.0,2.4189000000000003,7.33,35.0,33.800000000000004,0.0,0.0,134280.662,134281.729,0.1362,-0.1535,1.0,2.7,0.0,0.0,0.0,0.0
1679919709144,162.999,0.0,2.4189000000000003,7.183400000000001,35.0,33.800000000000004,0.0,0.0,134280.662,134281.729,0.1362,-0.1535,1.0,2.7,0.0,0.0,0.0,0.0
1679919709148,162.999,0.0,2.5655,7.33,35.0,33.800000000000004,0.0,0.0,134280.662,134281.729,0.1362,-0.1535,1.0,2.7,0.0,0.0,0.0,0.0
1679919709152,162.999,0.0,2.3456,7.33,35.0,33.800000000000004,0.0,0.0,134280.662,134281.729,0.1362,-0.1535,1.0,2.7,0.0,0.0,0.0,0.0
1679919709156,162.999,0.0,2.7121,7.33,35.0,33.800000000000004,0.0,0.0,134280.662,134281.729,0.1362,0.0183,1.0,2.7,0.0,0.0,0.0,0.0
1679919709160,162.999,0.0,2.4189000000000003,7.183400000000001,35.0,33.800000000000004,0.0,0.0,134280.662,134281.729,0.1362,0.0183,1.0,2.7,0.0,0.0,0.0,0.0
1679919709164,162.999,0.0,2.5655,7.1101,35.0,33.800000000000004,0.0,0.0,134280.662,134281.729,0.1362,0.0183,1.0,2.7,0.0,0.0,0.0,0.0
1679919709168,162.999,0.0,2.5655,7.33,35.0,33.800000000000004,0.0,0.0,134280.662,134281.729,0.1362,0.0183,1.0,2.7,0.0,0.0,0.0,0.0
1679919709172,162.999,0.0,2.4922,7.1101,35.0,33.800000000000004,0.0,0.0,134280.662,134281.729,0.1362,0.0183,1.0,2.8000000000000003,0.0,0.0,0.0,0.0
1679919709176,162.999,0.0,2.4189000000000003,7.2567,35.0,33.800000000000004,0.0,0.0,134280.662,134281.729,0.1362,0.0183,1.0,2.8000000000000003,0.0,0.0,0.0,0.0
1679919709180,162.999,0.0,2.4189000000000003,7.2567,35.0,33.800000000000004,0.0,0.0,134280.662,134281.729,0.1362,0.0183,1.0,2.8000000000000003,0.0,0.0,0.0,0.0
1679919709184,162.999,0.0,2.3456,7.2567,35.0,33.800000000000004,0.0,0.0,134280.662,134281.729,0.1362,0.0183,1.0,2.8000000000000003,0.0,0.0,0.0,0.0
1679919709188,162.999,0.0,2.3456,7.1101,35.0,33.800000000000004,0.0,0.0,134219.09,134281.729,0.1362,0.0183,1.0,2.8000000000000003,0.0,0.0,0.0,0.0
1679919709192,162.999,0.0,2.5655,7.183400000000001,35.0,33.800000000000004,0.0,0.0,134219.09,134281.729,0.1362,0.0183,1.0,2.8000000000000003,0.0,0.0,0.0,0.0
1679919709196,162.999,0.0,2.4189000000000003,7.183400000000001,35.0,33.800000000000004,0.0,0.0,134219.09,134281.729,0.1362,0.0183,1.0,2.8000000000000003,0.0,0.0,0.0,0.0
1679919709200,162.999,0.0,2.4189000000000003,7.183400000000001,35.0,33.800000000000004,0.0,0.0,134219.09,134281.729,0.1362,0.0183,1.0,2.8000000000000003,0.0,0.0,0.0,0.0
1679919709204,162.999,0.0,2.4189000000000003,7.2567,35.0,33.800000000000004,0.0,0.0,134219.09,134281.729,0.1362,0.0183,1.0,2.8000000000000003,0.0,0.0,0.0,0.0
