Time,V.A.POS.C,A.POS.Z,V.PLC.R[201],V.PLC.R[202],V.PLC.R[203],V.PLC.R[204],V.PLC.R[205],V.PLC.R[206],V.PLC.R[207],V.PLC.R[208],V.PLC.R[209],V.PLC.R[210],V.PLC.R[211],V.PLC.R[212],V.A.FEED.Z,V.A.FEED.Z1,A.ACCEL.Z,A.ACCEL.Z1
1680002486452,239.0007,0.0,2.1257,7.0368,31.3,30.0,0.0,0.0,134219.264,134283.145,0.2719,-0.0119,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680002486456,239.0007,0.0,1.9058,6.8902,31.3,30.0,0.0,0.0,134219.264,134283.145,0.2719,-0.0119,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680002486460,239.0007,0.0,2.1257,6.743600000000001,31.3,30.0,0.0,0.0,134220.447,134283.145,0.2719,-0.0119,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680002486464,239.0007,0.0,2.1990000000000003,6.597,31.3,30.0,0.0,0.0,134220.447,134283.145,0.2719,-0.0119,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680002486468,239.0007,0.0,2.2723,6.743600000000001,31.3,30.0,0.0,0.0,134220.447,134283.145,0.2719,-0.0119,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680002486472,239.0007,0.0,1.9791,7.0368,31.3,30.0,0.0,0.0,134220.447,134283.145,0.2719,0.0631,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680002486476,239.0007,0.0,2.3456,6.743600000000001,31.3,30.0,0.0,0.0,134220.447,134283.145,0.2719,0.0631,0.7000000000000001,2.6,0.0,2.5e-05,0.0,0.0625
1680002486480,239.0007,0.0,2.0524,6.8169,31.3,30.0,0.0,0.0,134220.447,134283.145,0.0224,0.0631,0.7000000000000001,2.6,0.0,-2.5e-05,0.0,-0.125
1680002486484,239.0007,0.0,2.1990000000000003,6.6703,31.3,30.0,0.0,0.0,134220.447,134283.145,0.0224,0.0631,0.7000000000000001,2.6,0.0,0.0,0.0,0.0625
1680002486488,239.0007,0.0,2.0524,6.963500000000001,31.3,30.0,0.0,0.0,134220.447,134283.145,0.0224,0.0631,0.7000000000000001,2.7,0.0,0.0,0.0,0.0
1680002486492,239.0007,0.0,2.1990000000000003,6.743600000000001,31.3,30.0,0.0,0.0,134220.447,134283.145,0.0224,0.0631,0.7000000000000001,2.7,0.0,0.0,0.0,0.0
1680002486496,239.0007,0.0,2.4189000000000003,6.743600000000001,31.3,30.0,0.0,0.0,134220.447,134283.145,0.0224,0.0631,0.8,2.7,0.0,0.0,0.0,0.0
1680002486500,239.0007,0.0,1.7592,6.4504,31.3,30.0,0.0,0.0,134220.447,134283.145,0.0224,0.0631,0.8,2.7,0.0,0.0,0.0,0.0
1680002486504,239.0007,0.0,2.0524,7.1101,31.3,30.0,0.0,0.0,134220.447,134283.145,0.0224,0.0631,0.8,2.7,0.0,-2.5e-05,0.0,-0.0625
1680002486508,239.0007,0.0,2.1257,6.4504,31.3,30.0,0.0,0.0,134220.447,134283.145,0.0224,0.0631,0.8,2.7,0.0,2.5e-05,0.0,0.125
1680002486512,239.0007,0.0,2.2723,6.8902,31.3,30.0,0.0,0.0,134220.447,134283.145,0.0224,0.0631,0.8,2.7,0.0,0.0,0.0,-0.0625
1680002486516,239.0007,0.0,2.2723,6.523700000000001,31.3,30.0,0.0,0.0,134220.447,134283.145,0.0224,0.0631,0.8,2.7,0.0,0.0,0.0,0.0
1680002486520,239.0007,0.0,1.9791,6.523700000000001,31.3,30.0,0.0,0.0,134220.447,134283.145,0.0224,0.0631,0.8,2.7,0.0,0.0,0.0,0.0
1680002486524,239.0007,0.0,2.0524,6.8169,31.3,30.0,0.0,0.0,134220.447,134283.145,0.0224,0.0631,0.8,2.7,0.0,0.0,0.0,0.0
1680002486528,239.0007,0.0,2.1257,6.523700000000001,31.3,30.0,0.0,0.0,134220.447,134283.145,0.0224,0.0631,0.8,2.7,0.0,0.0,0.0,0.0
1680002486532,239.0007,0.0,1.9791,6.6703,31.3,30.0,0.0,0.0,134220.447,134283.145,0.0224,0.0631,0.8,2.7,0.0,0.0,0.0,0.0
1680002486536,239.0007,0.0,2.1990000000000003,6.3771,31.3,30.0,0.0,0.0,134220.447,134283.145,0.0224,0.0631,0.8,2.7,0.0,0.0,0.0,0.0
1680002486540,239.0007,0.0,2.0524,6.6703,31.3,30.0,0.0,0.0,134220.447,134218.359,0.0224,0.0631,0.8,2.7,0.0,0.0,0.0,0.0
1680002486544,239.0007,0.0,1.6859000000000002,6.8169,31.3,30.0,0.0,0.0,134220.447,134218.359,0.0224,0.0631,0.8,2.7,0.0,0.0,0.0,0.0
1680002486548,239.0007,0.0,2.4189000000000003,6.3771,31.3,30.0,0.0,0.0,134217.952,134218.359,0.0224,0.0631,0.8,2.7,0.0,0.0,0.0,0.0
1680002486552,239.0007,0.0,1.8325,6.8169,31.3,30.0,0.0,0.0,134217.952,134218.359,0.0224,0.0631,0.8,2.7,0.0,0.0,0.0,0.0
1680002486556,239.0007,0.0,2.1257,6.963500000000001,31.3,30.0,0.0,0.0,134217.952,134218.359,0.0224,0.0631,0.8,2.7,0.0,0.0,0.0,0.0
1680002486560,239.0007,0.0,2.2723,6.523700000000001,31.3,30.0,0.0,0.0,134217.952,134218.359,0.0224,0.1828,0.8,2.7,0.0,0.0,0.0,0.0
1680002486564,239.0007,0.0,1.7592,6.597,31.3,30.0,0.0,0.0,134217.952,134218.359,0.0224,0.1828,0.8,2.7,0.0,0.0,0.0,0.0
1680002486568,239.0007,0.0,2.1990000000000003,6.597,31.3,30.0,0.0,0.0,134217.952,134218.359,-0.239,0.1828,0.8,2.7,0.0,0.0,0.0,0.0
1680002486572,239.0007,0.0,1.9791,6.743600000000001,31.3,30.0,0.0,0.0,134217.952,134218.359,-0.239,0.1828,0.8,2.7,0.0,0.0,0.0,0.0
1680002486576,239.0007,0.0,2.2723,6.597,31.3,30.0,0.0,0.0,134217.952,134218.359,-0.239,0.1828,0.8,2.6,0.0,0.0,0.0,0.0
1680002486580,239.0007,0.0,2.4189000000000003,6.6703,31.3,30.0,0.0,0.0,134217.952,134218.359,-0.239,0.1828,0.8,2.6,0.0,0.0,0.0,0.0
1680002486584,239.0007,0.0,1.7592,6.523700000000001,31.3,30.0,0.0,0.0,134217.952,134218.359,-0.239,0.1828,0.8,2.6,0.0,0.0,0.0,0.0
1680002486588,239.0007,0.0,2.1990000000000003,6.8902,31.3,30.0,0.0,0.0,134217.952,134218.359,-0.239,0.1828,0.8,2.6,0.0,0.0,0.0,0.0
1680002486592,239.0007,0.0,2.1990000000000003,6.6703,31.3,31.3,0.0,0.0,134217.952,134218.359,-0.239,0.1828,0.8,2.6,0.0,0.0,0.0,0.0
1680002486596,239.0007,0.0,1.9058,6.8902,31.3,31.3,0.0,0.0,134217.952,134218.359,-0.239,0.1828,0.8,2.6,0.0,0.0,0.0,0.0
1680002486600,239.0007,0.0,2.1990000000000003,6.4504,31.3,31.3,0.0,0.0,134217.952,134218.359,-0.239,0.1828,0.8,2.6,0.0,0.0,0.0,0.0
1680002486604,239.0007,0.0,2.0524,6.8902,31.3,31.3,0.0,0.0,134217.952,134218.359,-0.239,0.1828,0.8,2.6,0.0,0.0,0.0,0.0
1680002486608,239.0007,0.0,2.1990000000000003,6.6703,31.3,31.3,0.0,0.0,134217.952,134218.359,-0.239,0.1828,0.8,2.6,0.0,0.0,0.0,0.0
