Time,V.A.POS.C,A.POS.Z,V.PLC.R[201],V.PLC.R[202],V.PLC.R[203],V.PLC.R[204],V.PLC.R[205],V.PLC.R[206],V.PLC.R[207],V.PLC.R[208],V.PLC.R[209],V.PLC.R[210],V.PLC.R[211],V.PLC.R[212],V.A.FEED.Z,V.A.FEED.Z1,A.ACCEL.Z,A.ACCEL.Z1
1680010695772,359.9993,3149.9987,-0.3665,10.4819,35.0,33.800000000000004,0.0,0.0,134250.01200000002,134232.231,-0.8811,27.6647,0.7000000000000001,2.8000000000000003,0.0001,7.5e-05,0.0625,-0.0625
1680010695776,279.0005,0.0,1.5393,6.083900000000001,35.0,33.800000000000004,0.0,0.0,134217.856,134281.413,0.1104,0.1909,0.5,2.4000000000000004,0.0,0.0,0.0,0.0
1680010695780,279.0005,0.0,1.9058,5.9373000000000005,35.0,33.800000000000004,0.0,0.0,134217.856,134281.413,0.1104,0.1909,0.5,2.4000000000000004,0.0,0.0,0.0,0.0
1680010695784,279.0005,0.0,1.3927,6.2305,35.0,33.800000000000004,0.0,0.0,134217.856,134281.413,0.1104,0.1909,0.5,2.5,0.0,0.0,0.0,0.0
1680010695788,279.0005,0.0,1.6126,6.1572000000000005,35.0,33.800000000000004,0.0,0.0,134217.856,134281.413,0.1104,0.1909,0.5,2.5,0.0,0.0,0.0,0.0
1680010695792,279.0005,0.0,1.7592,5.864000000000001,35.0,33.800000000000004,0.0,0.0,134217.856,134281.413,0.1104,0.1909,0.5,2.5,0.0,0.0,0.0,0.0
1680010695796,279.0005,0.0,1.6859000000000002,6.3771,35.0,33.800000000000004,0.0,0.0,134217.856,134281.413,0.1104,0.1909,0.5,2.5,0.0,0.0,0.0,0.0
1680010695800,279.0005,0.0,1.5393,6.1572000000000005,35.0,33.800000000000004,0.0,0.0,134217.856,134281.413,0.1104,0.1909,0.5,2.5,0.0,0.0,0.0,0.0
1680010695804,279.0005,0.0,1.6126,5.9373000000000005,35.0,33.800000000000004,0.0,0.0,134217.856,134281.413,0.1104,0.1909,0.5,2.5,0.0,0.0,0.0,0.0
1680010695808,279.0005,0.0,1.5393,6.2305,35.0,33.800000000000004,0.0,0.0,134217.856,134281.413,0.1104,0.1909,0.5,2.5,0.0,0.0,0.0,0.0
