Time,V.A.POS.C,A.POS.Z,V.PLC.R[201],V.PLC.R[202],V.PLC.R[203],V.PLC.R[204],V.PLC.R[205],V.PLC.R[206],V.PLC.R[207],V.PLC.R[208],V.PLC.R[209],V.PLC.R[210],V.PLC.R[211],V.PLC.R[212],V.A.FEED.Z,V.A.FEED.Z1,A.ACCEL.Z,A.ACCEL.Z1
1680002205368,359.9993,3149.9985,-0.2932,10.4819,30.0,28.8,-0.01,0.0,134236.612,134227.389,-8.085,10.5945,0.0,3.6,0.0001,0.0001,0.0625,0.0625
1680002205372,231.0006,0.0,1.9058,6.3771,30.0,28.8,0.0,0.0,134218.033,134281.093,-0.0237,-0.2171,0.7000000000000001,2.7,0.0,0.0,0.0,0.0
1680002205376,231.0006,0.0,1.9791,6.6703,30.0,28.8,0.0,0.0,134218.033,134281.093,-0.0237,-0.2171,0.7000000000000001,2.7,0.0,0.0,0.0,0.0
1680002205380,231.0006,0.0,1.6859000000000002,6.6703,30.0,28.8,0.0,0.0,134218.033,134281.093,-0.0237,0.1238,0.7000000000000001,2.7,0.0,0.0,0.0,0.0
1680002205384,231.0006,0.0,1.7592,6.597,30.0,28.8,0.0,0.0,134218.033,134281.093,-0.0237,0.1238,0.7000000000000001,2.7,0.0,0.0,0.0,0.0
1680002205388,231.0006,0.0,1.9791,6.6703,30.0,28.8,0.0,0.0,134218.033,134281.093,-0.0237,0.1238,0.7000000000000001,2.7,0.0,0.0,0.0,0.0
1680002205392,231.0006,0.0,1.9791,6.743600000000001,30.0,28.8,0.0,0.0,134218.033,134281.093,-0.0237,0.1238,0.7000000000000001,2.7,0.0,0.0,0.0,0.0
1680002205396,231.0006,0.0,1.7592,6.8902,30.0,28.8,0.0,0.0,134218.033,134281.093,-0.0237,0.1238,0.7000000000000001,2.5,0.0,0.0,0.0,0.0
1680002205400,231.0006,0.0,1.9058,6.597,30.0,28.8,0.0,0.0,134218.033,134281.093,-0.0237,0.1238,0.7000000000000001,2.5,0.0,0.0,0.0,0.0
1680002205404,231.0006,0.0,1.6859000000000002,6.3771,30.0,28.8,0.0,0.0,134218.033,134281.093,-0.0237,0.1238,0.7000000000000001,2.5,0.0,0.0,0.0,0.0
1680002205408,231.0006,0.0,1.9791,6.743600000000001,30.0,28.8,0.0,0.0,134218.033,134281.093,-0.0237,0.1238,0.7000000000000001,2.5,0.0,0.0,0.0,0.0
1680002205412,231.0006,0.0,2.1257,6.6703,30.0,28.8,0.0,0.0,134218.033,134281.093,-0.0237,0.1238,0.7000000000000001,2.5,0.0,0.0,0.0,0.0
1680002205416,231.0006,0.0,1.7592,6.8902,30.0,28.8,0.0,0.0,134218.033,134281.093,-0.0237,0.1238,0.7000000000000001,2.5,0.0,0.0,0.0,0.0
1680002205420,231.0006,0.0,1.9791,6.8902,30.0,28.8,0.0,0.0,134218.033,134281.093,-0.0237,0.1238,0.7000000000000001,2.5,0.0,0.0,0.0,0.0
1680002205424,231.0006,0.0,2.0524,6.743600000000001,30.0,28.8,0.0,0.0,134218.033,134281.093,-0.0237,0.1238,0.7000000000000001,2.5,0.0,0.0,0.0,0.0
1680002205428,231.0006,0.0,1.9791,6.597,30.0,28.8,0.0,0.0,134283.027,134281.093,-0.0237,0.1238,0.7000000000000001,2.5,0.0,0.0,0.0,0.0
1680002205432,231.0006,0.0,1.9791,6.3771,30.0,28.8,0.0,0.0,134283.027,134281.093,-0.0237,0.1238,0.7000000000000001,2.5,0.0,0.0,0.0,0.0
1680002205436,231.0006,0.0,1.9791,6.743600000000001,30.0,28.8,0.0,0.0,134283.027,134281.093,-0.0237,0.1238,0.7000000000000001,2.5,0.0,0.0,0.0,0.0
1680002205440,231.0006,0.0,1.7592,6.597,30.0,28.8,0.0,0.0,134283.027,134281.093,-0.0237,0.1238,0.7000000000000001,2.5,0.0,0.0,0.0,0.0
1680002205444,231.0006,0.0,1.7592,6.963500000000001,30.0,28.8,0.0,0.0,134283.027,134281.093,-0.0237,0.1238,0.7000000000000001,2.5,0.0,0.0,0.0,0.0
1680002205448,231.0006,0.0,1.8325,7.0368,30.0,28.8,0.0,0.0,134283.027,134281.093,0.0398,0.1238,0.7000000000000001,2.5,0.0,0.0,0.0,0.0
1680002205452,231.0006,0.0,1.9058,6.6703,30.0,28.8,0.0,0.0,134283.027,134218.966,0.0398,0.1238,0.7000000000000001,2.5,0.0,0.0,0.0,0.0
1680002205456,231.0006,0.0,1.7592,6.597,30.0,28.8,0.0,0.0,134283.027,134218.966,0.0398,0.1238,0.7000000000000001,2.5,0.0,0.0,0.0,0.0
1680002205460,231.0006,0.0,1.9058,6.963500000000001,30.0,28.8,0.0,0.0,134283.027,134218.966,0.0398,0.1238,0.7000000000000001,2.5,0.0,0.0,0.0,0.0
1680002205464,231.0006,0.0,1.9058,6.523700000000001,30.0,28.8,0.0,0.0,134283.027,134218.966,0.0398,0.1238,0.7000000000000001,2.5,0.0,0.0,0.0,0.0
1680002205468,231.0006,0.0,1.9791,6.6703,30.0,28.8,0.0,0.0,134283.027,134218.966,0.0398,-0.0661,0.7000000000000001,2.5,0.0,0.0,0.0,0.0
1680002205472,231.0006,0.0,1.9791,6.743600000000001,30.0,28.8,0.0,0.0,134283.027,134218.966,0.0398,-0.0661,0.7000000000000001,2.5,0.0,0.0,0.0,0.0
1680002205476,231.0006,0.0,1.9058,6.597,30.0,28.8,0.0,0.0,134283.027,134218.966,0.0398,-0.0661,0.7000000000000001,2.5,0.0,0.0,0.0,0.0
1680002205480,231.0006,0.0,2.0524,6.597,30.0,28.8,0.0,0.0,134283.027,134218.966,0.0398,-0.0661,0.7000000000000001,2.5,0.0,0.0,0.0,0.0
1680002205484,231.0006,0.0,1.9791,6.3771,30.0,28.8,0.0,0.0,134283.027,134218.966,0.0398,-0.0661,0.7000000000000001,2.5,0.0,0.0,0.0,0.0
1680002205488,231.0006,0.0,1.9058,6.3771,30.0,28.8,0.0,0.0,134283.027,134218.966,0.0398,-0.0661,0.7000000000000001,2.5,0.0,0.0,0.0,0.0
1680002205492,231.0006,0.0,2.0524,6.8169,30.0,28.8,0.0,0.0,134283.027,134218.966,0.0398,-0.0661,0.7000000000000001,2.5,0.0,0.0,0.0,0.0
1680002205496,231.0006,0.0,1.9058,6.523700000000001,30.0,28.8,0.0,0.0,134283.027,134218.966,0.0398,-0.0661,0.7000000000000001,2.5,0.0,0.0,0.0,0.0
1680002205500,231.0006,0.0,2.0524,6.6703,30.0,28.8,0.0,0.0,134283.027,134218.966,0.0398,-0.0661,0.7000000000000001,2.5,0.0,0.0,0.0,0.0
1680002205504,231.0006,0.0,1.9791,6.303800000000001,30.0,28.8,0.0,0.0,134283.027,134218.966,0.0398,-0.0661,0.7000000000000001,2.5,0.0,0.0,0.0,0.0
1680002205508,231.0006,0.0,1.7592,6.8902,30.0,28.8,0.0,0.0,134283.027,134218.966,0.0398,-0.0661,0.7000000000000001,2.5,0.0,0.0,0.0,0.0
