Time,V.A.POS.C,A.POS.Z,V.PLC.R[201],V.PLC.R[202],V.PLC.R[203],V.PLC.R[204],V.PLC.R[205],V.PLC.R[206],V.PLC.R[207],V.PLC.R[208],V.PLC.R[209],V.PLC.R[210],V.PLC.R[211],V.PLC.R[212],V.A.FEED.Z,V.A.FEED.Z1,A.ACCEL.Z,A.ACCEL.Z1
1679919951072,0.001,3149.9990000000003,-0.3665,10.7751,35.0,33.800000000000004,0.0,0.0,134253.131,134227.117,-1.9016,12.8965,0.6000000000000001,3.4000000000000004,7.5e-05,7.5e-05,-0.0625,-0.125
1679919951076,170.9991,0.0,2.3456,7.183400000000001,36.3,33.800000000000004,0.0,0.0,134282.727,134218.005,0.2893,0.2297,0.9,2.8000000000000003,0.0,0.0,0.0,0.0
1679919951080,170.9991,0.0,2.4922,7.1101,36.3,33.800000000000004,0.0,0.0,134220.621,134218.005,0.2893,0.2297,0.9,2.8000000000000003,0.0,0.0,0.0,0.0
1679919951084,170.9991,0.0,2.4189000000000003,6.963500000000001,36.3,33.800000000000004,0.0,0.0,134220.621,134220.025,0.2893,0.2297,0.9,2.8000000000000003,0.0,0.0,0.0,0.0
1679919951088,170.9991,0.0,2.5655,6.597,36.3,33.800000000000004,0.0,0.0,134220.621,134220.025,0.2893,0.2297,0.9,2.8000000000000003,0.0,0.0,0.0,0.0
1679919951092,170.9991,0.0,2.3456,7.0368,36.3,33.800000000000004,0.0,0.0,134220.621,134220.025,0.2893,0.2297,0.9,2.8000000000000003,0.0,0.0,0.0,0.0
1679919951096,170.9991,0.0,2.3456,7.183400000000001,36.3,33.800000000000004,0.0,0.0,134220.621,134220.025,0.2893,0.2297,0.9,2.8000000000000003,0.0,0.0,0.0,0.0
1679919951100,170.9991,0.0,2.4189000000000003,6.8902,36.3,33.800000000000004,0.0,0.0,134220.621,134220.025,-0.0138,0.2297,0.9,2.8000000000000003,0.0,0.0,0.0,0.0
1679919951104,170.9991,0.0,2.4189000000000003,7.403300000000001,36.3,33.800000000000004,0.0,0.0,134220.621,134220.025,-0.0138,-0.114,0.9,2.8000000000000003,0.0,0.0,0.0,0.0
1679919951108,170.9991,0.0,2.2723,6.8169,36.3,33.800000000000004,0.0,0.0,134220.621,134220.025,-0.0138,-0.114,0.9,2.8000000000000003,0.0,0.0,0.0,0.0
1679919951112,170.9991,0.0,2.3456,6.6703,36.3,33.800000000000004,0.0,0.0,134220.621,134220.025,-0.0138,-0.114,0.9,2.8000000000000003,0.0,0.0,0.0,0.0
1679919951116,170.9991,0.0,2.4922,6.743600000000001,36.3,33.800000000000004,0.0,0.0,134220.621,134220.025,-0.0138,-0.114,1.0,2.8000000000000003,0.0,0.0,0.0,0.0
1679919951120,170.9991,0.0,2.6388000000000003,6.6703,36.3,33.800000000000004,0.0,0.0,134220.621,134220.025,-0.0138,-0.114,1.0,2.7,0.0,0.0,0.0,0.0
1679919951124,170.9991,0.0,2.2723,6.743600000000001,36.3,33.800000000000004,0.0,0.0,134220.621,134220.025,-0.0138,-0.114,1.0,2.7,0.0,0.0,0.0,0.0
1679919951128,170.9991,0.0,2.3456,6.303800000000001,36.3,33.800000000000004,0.0,0.0,134220.621,134220.025,-0.0138,-0.114,1.0,2.7,0.0,0.0,0.0,0.0
1679919951132,170.9991,0.0,2.1257,6.8902,35.0,33.800000000000004,0.0,0.0,134220.621,134220.025,-0.0138,-0.114,1.0,2.7,0.0,0.0,0.0,0.0
1679919951136,170.9991,0.0,2.5655,7.403300000000001,35.0,33.800000000000004,0.0,0.0,134220.621,134220.025,-0.0138,-0.114,1.0,2.7,0.0,0.0,0.0,0.0
1679919951140,170.9991,0.0,2.4189000000000003,6.8902,35.0,33.800000000000004,0.0,0.0,134220.621,134220.025,-0.0138,-0.114,1.0,2.7,0.0,0.0,0.0,0.0
1679919951144,170.9991,0.0,2.3456,6.963500000000001,35.0,33.800000000000004,0.0,0.0,134220.621,134220.025,-0.0138,-0.114,1.0,2.7,0.0,0.0,0.0,0.0
1679919951148,170.9991,0.0,2.3456,6.8902,35.0,33.800000000000004,0.0,0.0,134220.621,134220.025,-0.0138,-0.114,1.0,2.7,0.0,0.0,0.0,0.0
1679919951152,170.9991,0.0,2.4922,6.523700000000001,35.0,33.800000000000004,0.0,0.0,134220.621,134220.025,-0.0138,-0.114,1.0,2.7,0.0,0.0,0.0,0.0
1679919951156,170.9991,0.0,2.4922,6.597,35.0,33.800000000000004,0.0,0.0,134220.621,134220.025,-0.0138,-0.114,1.0,2.7,0.0,0.0,0.0,0.0
1679919951160,170.9991,0.0,2.4922,6.6703,35.0,33.800000000000004,0.0,0.0,134220.621,134220.025,-0.0138,-0.114,1.0,2.7,0.0,0.0,0.0,0.0
1679919951164,170.9991,0.0,2.3456,6.597,35.0,33.800000000000004,0.0,0.0,134220.621,134220.025,-0.0138,-0.114,1.0,2.7,0.0,0.0,0.0,0.0
