Time,V.A.POS.C,A.POS.Z,V.PLC.R[201],V.PLC.R[202],V.PLC.R[203],V.PLC.R[204],V.PLC.R[205],V.PLC.R[206],V.PLC.R[207],V.PLC.R[208],V.PLC.R[209],V.PLC.R[210],V.PLC.R[211],V.PLC.R[212],V.A.FEED.Z,V.A.FEED.Z1,A.ACCEL.Z,A.ACCEL.Z1
1679489780984,0.0006,3150.0,0.3665,9.2358,28.8,28.8,0.0,0.0,134282.708,134282.046,-0.0556,-0.103,0.1,3.5,0.0,-2.5e-05,0.0,-0.125
1679489780988,0.0006,3150.0,0.3665,9.0159,28.8,28.8,0.0,0.0,134282.708,134282.046,-0.0556,-0.103,0.1,3.5,0.0,2.5e-05,0.0,0.125
1679489780992,0.0006,3150.0,0.3665,9.3091,28.8,28.8,0.0,0.0,134282.708,134282.234,-0.0556,-0.103,0.1,3.5,0.0,-5e-05,0.0,-0.1875
1679489780996,38.9997,0.0,1.8325,6.083900000000001,31.3,28.8,0.0,0.0,134281.26,134282.233,-0.1531,0.0083,0.6000000000000001,2.4000000000000004,0.0,2.5e-05,0.0,0.0625
1679489781000,38.9997,0.0,1.3927,6.1572000000000005,31.3,28.8,0.0,0.0,134281.26,134282.233,-0.1531,0.0083,0.6000000000000001,2.4000000000000004,0.0,-2.5e-05,0.0,-0.125
1679489781004,38.9997,0.0,1.7592,6.0106,31.3,28.8,0.0,0.0,134281.26,134282.233,-0.1531,0.0083,0.6000000000000001,2.4000000000000004,0.0,0.0,0.0,0.0625
1679489781008,38.9997,0.0,1.4660000000000002,6.3771,31.3,28.8,0.0,0.0,134281.26,134282.233,-0.1531,0.0083,0.6000000000000001,2.4000000000000004,0.0,0.0,0.0,0.0
1679489781012,38.9997,0.0,1.9058,6.523700000000001,31.3,28.8,0.0,0.0,134281.26,134282.233,-0.1531,0.0083,0.6000000000000001,2.4000000000000004,0.0,2.5e-05,0.0,0.0625
1679489781016,38.9997,0.0,1.6126,6.1572000000000005,31.3,28.8,0.0,0.0,134281.26,134282.233,-0.1531,0.0083,0.6000000000000001,2.4000000000000004,0.0,-2.5e-05,0.0,-0.125
1679489781020,38.9997,0.0,1.7592,6.743600000000001,31.3,28.8,0.0,0.0,134281.26,134282.233,-0.1531,0.0083,0.6000000000000001,2.4000000000000004,0.0,0.0,0.0,0.0625
1679489781024,38.9997,0.0,1.6126,6.1572000000000005,31.3,28.8,0.0,0.0,134281.26,134282.233,-0.1531,0.0083,0.6000000000000001,2.4000000000000004,0.0,0.0,0.0,0.0
1679489781028,38.9997,0.0,1.9791,6.523700000000001,31.3,28.8,0.0,0.0,134281.26,134282.233,-0.1531,0.0083,0.6000000000000001,2.4000000000000004,0.0,0.0,0.0,0.0
1679489781032,38.9997,0.0,1.6126,6.0106,31.3,28.8,0.0,0.0,134281.733,134282.233,-0.1531,0.0083,0.6000000000000001,2.4000000000000004,0.0,-2.5e-05,0.0,-0.0625
1679489781036,38.9997,0.0,1.7592,6.303800000000001,31.3,28.8,0.0,0.0,134281.733,134217.81100000002,-0.1531,0.0083,0.6000000000000001,2.4000000000000004,0.0,2.5e-05,0.0,0.125
1679489781040,38.9997,0.0,1.5393,6.4504,31.3,28.8,0.0,0.0,134281.733,134217.81100000002,-0.1531,0.0083,0.6000000000000001,2.4000000000000004,0.0,-2.5e-05,0.0,-0.125
1679489781044,38.9997,0.0,1.6126,6.083900000000001,31.3,28.8,0.0,0.0,134281.733,134217.81100000002,-0.1531,0.0083,0.6000000000000001,2.4000000000000004,0.0,2.5e-05,0.0,0.125
1679489781048,38.9997,0.0,1.6126,6.4504,31.3,28.8,0.0,0.0,134281.733,134217.81100000002,-0.1531,0.0083,0.6000000000000001,2.4000000000000004,0.0,0.0,0.0,-0.0625
1679489781052,38.9997,0.0,1.5393,6.597,31.3,28.8,0.0,0.0,134281.733,134217.81100000002,0.0744,0.0083,0.6000000000000001,2.4000000000000004,0.0,0.0,0.0,0.0
1679489781056,38.9997,0.0,1.6126,6.0106,31.3,28.8,0.0,0.0,134281.733,134217.81100000002,0.0744,0.0558,0.6000000000000001,2.4000000000000004,0.0,0.0,0.0,0.0
1679489781060,38.9997,0.0,1.6859000000000002,6.1572000000000005,31.3,28.8,0.0,0.0,134281.733,134217.81100000002,0.0744,0.0558,0.6000000000000001,2.4000000000000004,0.0,0.0,0.0,0.0
1679489781064,38.9997,0.0,1.5393,6.303800000000001,31.3,28.8,0.0,0.0,134281.733,134217.81100000002,0.0744,0.0558,0.6000000000000001,2.4000000000000004,0.0,0.0,0.0,0.0
1679489781068,38.9997,0.0,1.7592,6.303800000000001,31.3,28.8,0.0,0.0,134281.733,134217.81100000002,0.0744,0.0558,0.5,2.4000000000000004,0.0,0.0,0.0,0.0
1679489781072,38.9997,0.0,1.6126,6.1572000000000005,31.3,28.8,0.0,0.0,134281.733,134217.81100000002,0.0744,0.0558,0.5,2.5,0.0,0.0,0.0,0.0
1679489781076,38.9997,0.0,1.7592,6.3771,31.3,28.8,0.0,0.0,134281.733,134217.81100000002,0.0744,0.0558,0.5,2.5,0.0,0.0,0.0,0.0
1679489781080,38.9997,0.0,1.7592,6.597,31.3,28.8,0.0,0.0,134281.733,134217.81100000002,0.0744,0.0558,0.5,2.5,0.0,0.0,0.0,0.0
1679489781084,38.9997,0.0,1.6859000000000002,6.597,31.3,28.8,0.0,0.0,134281.733,134217.81100000002,0.0744,0.0558,0.5,2.5,0.0,-2.5e-05,0.0,-0.0625
1679489781088,38.9997,0.0,1.4660000000000002,6.523700000000001,31.3,28.8,0.0,0.0,134281.733,134217.81100000002,0.0744,0.0558,0.5,2.5,0.0,2.5e-05,0.0,0.125
1679489781092,38.9997,0.0,1.7592,5.6441,31.3,28.8,0.0,0.0,134281.733,134217.81100000002,0.0744,0.0558,0.5,2.5,0.0,0.0,0.0,-0.0625
1679489781096,38.9997,0.0,1.8325,6.3771,31.3,28.8,0.0,0.0,134281.733,134217.81100000002,0.0744,0.0558,0.5,2.5,0.0,0.0,0.0,0.0
