Time,V.A.POS.C,A.POS.Z,V.PLC.R[201],V.PLC.R[202],V.PLC.R[203],V.PLC.R[204],V.PLC.R[205],V.PLC.R[206],V.PLC.R[207],V.PLC.R[208],V.PLC.R[209],V.PLC.R[210],V.PLC.R[211],V.PLC.R[212],V.A.FEED.Z,V.A.FEED.Z1,A.ACCEL.Z,A.ACCEL.Z1
1680001414216,211.0003,0.0,2.0524,6.743600000000001,28.8,27.5,0.0,0.0,134281.846,134221.424,-0.1418,0.167,0.8,2.5,0.0,0.0,0.0,0.0
1680001414220,211.0003,0.0,1.7592,6.597,28.8,27.5,0.0,0.0,134281.846,134221.424,0.0541,0.167,0.8,2.5,0.0,0.0,0.0,0.0
1680001414224,211.0003,0.0,2.1990000000000003,6.6703,28.8,27.5,0.0,0.0,134281.846,134221.424,0.0541,0.167,0.8,2.5,0.0,0.0,0.0,0.0
1680001414228,211.0003,0.0,1.9058,6.303800000000001,28.8,27.5,0.0,0.0,134281.846,134221.424,0.0541,0.167,0.8,2.5,0.0,0.0,0.0,0.0
1680001414232,211.0003,0.0,1.9791,6.3771,28.8,27.5,0.0,0.0,134281.846,134221.424,0.0541,0.167,0.8,2.5,0.0,0.0,0.0,0.0
1680001414236,211.0003,0.0,1.9058,6.3771,28.8,27.5,0.0,0.0,134281.846,134221.424,0.0541,0.167,0.8,2.5,0.0,0.0,0.0,0.0
1680001414240,211.0003,0.0,1.9058,7.183400000000001,28.8,27.5,0.0,0.0,134281.846,134219.39800000002,0.0541,0.167,0.8,2.5,0.0,0.0,0.0,0.0
1680001414244,211.0003,0.0,1.7592,6.523700000000001,28.8,27.5,0.0,0.0,134281.846,134219.39800000002,0.0541,0.167,0.8,2.5,0.0,0.0,0.0,0.0
1680001414248,211.0003,0.0,2.0524,6.8902,28.8,27.5,0.0,0.0,134281.846,134219.39800000002,0.0541,0.167,0.8,2.5,0.0,0.0,0.0,0.0
1680001414252,211.0003,0.0,2.2723,6.963500000000001,28.8,27.5,0.0,0.0,134281.846,134219.39800000002,0.0541,0.167,0.8,2.5,0.0,0.0,0.0,0.0
1680001414256,211.0003,0.0,2.0524,6.523700000000001,28.8,27.5,0.0,0.0,134281.846,134219.39800000002,0.0541,0.167,0.8,2.5,0.0,0.0,0.0,0.0
1680001414260,211.0003,0.0,1.9058,6.303800000000001,28.8,27.5,0.0,0.0,134281.846,134219.39800000002,0.0541,0.1908,0.8,2.5,0.0,0.0,0.0,0.0
1680001414264,211.0003,0.0,2.0524,6.4504,28.8,27.5,0.0,0.0,134281.846,134219.39800000002,0.0541,0.1908,0.8,2.5,0.0,0.0,0.0,0.0
1680001414268,211.0003,0.0,2.0524,6.597,28.8,27.5,0.0,0.0,134281.846,134219.39800000002,0.0541,0.1908,0.8,2.5,0.0,2.5e-05,0.0,0.0625
1680001414272,211.0003,0.0,2.0524,6.3771,28.8,27.5,0.0,0.0,134281.846,134219.39800000002,0.0541,0.1908,0.8,2.5,0.0,-2.5e-05,0.0,-0.125
1680001414276,211.0003,0.0,1.9791,6.8902,28.8,27.5,0.0,0.0,134281.846,134219.39800000002,0.0541,0.1908,0.8,2.6,0.0,0.0,0.0,0.0625
1680001414280,211.0003,0.0,2.1990000000000003,6.8169,28.8,27.5,0.0,0.0,134281.846,134219.39800000002,0.0541,0.1908,0.8,2.6,0.0,0.0,0.0,0.0
1680001414284,211.0003,0.0,1.8325,6.6703,28.8,27.5,0.0,0.0,134281.846,134219.39800000002,0.0541,0.1908,0.8,2.6,0.0,0.0,0.0,0.0
1680001414288,211.0003,0.0,2.1257,6.597,28.8,27.5,0.0,0.0,134218.269,134219.39800000002,0.0541,0.1908,0.8,2.6,0.0,0.0,0.0,0.0
1680001414292,211.0003,0.0,1.6859000000000002,6.1572000000000005,28.8,27.5,0.0,0.0,134218.269,134219.39800000002,0.0541,0.1908,0.8,2.6,0.0,0.0,0.0,0.0
1680001414296,211.0003,0.0,1.7592,6.3771,28.8,27.5,0.0,0.0,134218.269,134219.39800000002,0.0541,0.1908,0.8,2.6,0.0,0.0,0.0,0.0
1680001414300,211.0003,0.0,1.9791,6.743600000000001,28.8,27.5,0.0,0.0,134218.269,134219.39800000002,0.0541,0.1908,0.8,2.6,0.0,0.0,0.0,0.0
1680001414304,211.0003,0.0,2.2723,6.963500000000001,28.8,27.5,0.0,0.0,134218.269,134219.39800000002,0.0541,0.1908,0.8,2.6,0.0,0.0,0.0,0.0
1680001414308,211.0003,0.0,1.9791,6.6703,28.8,27.5,0.0,0.0,134218.269,134219.39800000002,0.3016,0.1908,0.8,2.6,0.0,0.0,0.0,0.0
1680001414312,211.0003,0.0,2.2723,6.6703,28.8,27.5,0.0,0.0,134218.269,134219.39800000002,0.3016,0.1908,0.8,2.6,0.0,0.0,0.0,0.0
1680001414316,211.0003,0.0,1.8325,6.6703,28.8,27.5,0.0,0.0,134218.269,134219.39800000002,0.3016,0.1908,0.8,2.6,0.0,0.0,0.0,0.0
1680001414320,211.0003,0.0,2.1257,6.597,28.8,27.5,0.0,0.0,134218.269,134219.39800000002,0.3016,0.1908,0.8,2.6,0.0,0.0,0.0,0.0
1680001414324,211.0003,0.0,1.8325,6.3771,28.8,27.5,0.0,0.0,134218.269,134219.39800000002,0.3016,0.1908,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414328,211.0003,0.0,2.1990000000000003,6.523700000000001,28.8,27.5,0.0,0.0,134218.269,134219.636,0.3016,0.1908,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414332,211.0003,0.0,2.0524,6.303800000000001,28.8,27.5,0.0,0.0,134218.269,134219.636,0.3016,0.1908,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414336,211.0003,0.0,2.1990000000000003,6.8902,28.8,27.5,0.0,0.0,134218.269,134219.636,0.3016,0.1908,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414340,211.0003,0.0,1.6859000000000002,6.8169,28.8,27.5,0.0,0.0,134218.269,134219.636,0.3016,0.1908,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414344,211.0003,0.0,2.0524,6.743600000000001,28.8,27.5,0.0,0.0,134218.269,134219.636,0.3016,0.1908,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414348,211.0003,0.0,1.9791,6.743600000000001,28.8,27.5,0.0,0.0,134218.269,134219.636,0.3016,0.0452,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414352,211.0003,0.0,2.1257,6.8169,28.8,27.5,0.0,0.0,134218.269,134219.636,0.3016,0.0452,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414356,211.0003,0.0,1.9791,6.3771,28.8,27.5,0.0,0.0,134218.269,134219.636,0.3016,0.0452,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414360,211.0003,0.0,1.9791,6.597,28.8,27.5,0.0,0.0,134218.269,134219.636,0.3016,0.0452,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414364,211.0003,0.0,2.0524,6.597,28.8,27.5,0.0,0.0,134218.269,134219.636,0.3016,0.0452,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414368,211.0003,0.0,2.0524,6.523700000000001,28.8,27.5,0.0,0.0,134218.269,134219.636,0.3016,0.0452,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414372,211.0003,0.0,1.9791,6.523700000000001,28.8,27.5,0.0,0.0,134218.269,134219.636,0.3016,0.0452,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414376,211.0003,0.0,1.9791,6.597,28.8,27.5,0.0,0.0,134220.744,134219.636,0.3016,0.0452,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414380,211.0003,0.0,1.7592,6.743600000000001,28.8,27.5,0.0,0.0,134220.744,134219.636,0.3016,0.0452,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414384,211.0003,0.0,2.1257,7.1101,28.8,27.5,0.0,0.0,134220.744,134219.636,0.3016,0.0452,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414388,211.0003,0.0,1.7592,6.3771,28.8,27.5,0.0,0.0,134220.744,134219.636,0.3016,0.0452,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414392,211.0003,0.0,2.1990000000000003,6.6703,28.8,27.5,0.0,0.0,134220.744,134219.636,0.3016,0.0452,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414396,211.0003,0.0,2.0524,6.523700000000001,28.8,27.5,0.0,0.0,134220.744,134219.636,-0.0377,0.0452,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414400,211.0003,0.0,1.8325,6.6703,28.8,27.5,0.0,0.0,134220.744,134219.636,-0.0377,0.0452,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414404,211.0003,0.0,1.9791,6.6703,28.8,27.5,0.0,0.0,134220.744,134219.636,-0.0377,0.0452,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414408,211.0003,0.0,2.1257,6.743600000000001,28.8,27.5,0.0,0.0,134220.744,134219.636,-0.0377,0.0452,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414412,211.0003,0.0,1.9791,6.6703,28.8,27.5,0.0,0.0,134220.744,134219.636,-0.0377,0.0452,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414416,211.0003,0.0,2.1990000000000003,6.743600000000001,28.8,27.5,0.0,0.0,134220.744,134218.18,-0.0377,0.0452,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414420,211.0003,0.0,2.1257,6.3771,28.8,27.5,0.0,0.0,134220.744,134218.18,-0.0377,0.0452,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414424,211.0003,0.0,2.1990000000000003,6.3771,28.8,27.5,0.0,0.0,134220.744,134218.18,-0.0377,0.0452,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414428,211.0003,0.0,2.1257,6.597,28.8,27.5,0.0,0.0,134220.744,134218.18,-0.0377,0.0452,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414432,211.0003,0.0,2.1990000000000003,6.597,28.8,27.5,0.0,0.0,134220.744,134218.18,-0.0377,0.0452,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414436,211.0003,0.0,1.9791,6.743600000000001,28.8,27.5,0.0,0.0,134220.744,134218.18,-0.0377,0.2176,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414440,211.0003,0.0,2.0524,6.8169,28.8,27.5,0.0,0.0,134220.744,134218.18,-0.0377,0.2176,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414444,211.0003,0.0,2.1990000000000003,6.8902,28.8,27.5,0.0,0.0,134220.744,134218.18,-0.0377,0.2176,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414448,211.0003,0.0,2.0524,6.597,28.8,27.5,0.0,0.0,134220.744,134218.18,-0.0377,0.2176,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414452,211.0003,0.0,2.0524,6.3771,28.8,27.5,0.0,0.0,134220.744,134218.18,-0.0377,0.2176,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414456,211.0003,0.0,2.4189000000000003,6.3771,28.8,27.5,0.0,0.0,134220.744,134218.18,-0.0377,0.2176,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414460,211.0003,0.0,2.0524,6.6703,28.8,27.5,0.0,0.0,134220.744,134218.18,-0.0377,0.2176,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414464,211.0003,0.0,2.2723,6.8169,28.8,27.5,0.0,0.0,134282.88700000002,134218.18,-0.0377,0.2176,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414468,211.0003,-0.0001,1.9791,6.8902,28.8,27.5,0.0,0.0,134282.88700000002,134218.18,-0.0377,0.2176,0.7000000000000001,2.6,-2.5e-05,0.0,-0.0625,0.0
1680001414472,211.0003,0.0,1.6126,6.6703,28.8,27.5,0.0,0.0,134282.88700000002,134218.18,-0.0377,0.2176,0.7000000000000001,2.6,2.5e-05,0.0,0.125,0.0
1680001414476,211.0003,0.0,2.0524,6.743600000000001,28.8,27.5,0.0,0.0,134282.88700000002,134218.18,-0.0377,0.2176,0.7000000000000001,2.6,0.0,0.0,-0.0625,0.0
1680001414480,211.0003,0.0,2.1257,6.303800000000001,28.8,27.5,0.0,0.0,134282.88700000002,134218.18,-0.0377,0.2176,0.7000000000000001,2.6,0.0,0.0,0.0,0.0
1680001414484,211.0003,0.0,2.1257,6.6703,28.8,27.5,0.0,0.0,134282.88700000002,134218.18,-0.0377,0.2176,0.7000000000000001,2.6,0.0,2.5e-05,0.0,0.0625
