Time,V.A.POS.C,A.POS.Z,V.PLC.R[201],V.PLC.R[202],V.PLC.R[203],V.PLC.R[204],V.PLC.R[205],V.PLC.R[206],V.PLC.R[207],V.PLC.R[208],V.PLC.R[209],V.PLC.R[210],V.PLC.R[211],V.PLC.R[212],V.A.FEED.Z,V.A.FEED.Z1,A.ACCEL.Z,A.ACCEL.Z1
1679921202180,359.9993,3149.9983,0.0,10.7751,37.5,36.3,-0.01,0.0,134232.182,134234.907,-7.4556,20.1243,0.1,3.0,5e-05,5e-05,-0.125,-0.0625
1679921202184,359.9993,3149.9986000000004,0.0,11.0683,37.5,36.3,-0.01,0.0,134232.182,134222.363,-7.4556,20.1243,0.1,3.0,7.5e-05,5e-05,0.0625,0.0
1679921202188,203.0005,0.0,2.7854,6.8169,36.3,36.3,0.0,0.0,134283.057,134218.302,-0.0449,-0.1598,1.1,2.6,0.0,-2.5e-05,0.0,-0.0625
1679921202192,203.0005,0.0,2.7854,6.8902,36.3,36.3,0.0,0.0,134283.057,134218.302,-0.0449,-0.1598,1.1,2.6,0.0,5e-05,0.0,0.1875
1679921202196,203.0005,0.0,2.5655,7.1101,36.3,36.3,0.0,0.0,134282.815,134218.302,-0.0449,-0.1598,1.1,2.6,0.0,-2.5e-05,0.0,-0.1875
1679921202200,203.0005,0.0,2.4922,6.597,36.3,36.3,0.0,0.0,134282.815,134281.666,-0.0449,-0.1598,1.1,2.6,0.0,0.0,0.0,0.0625
1679921202204,203.0005,0.0,3.0053,7.0368,36.3,36.3,0.0,0.0,134282.815,134281.666,-0.0449,-0.1598,1.1,2.6,0.0,0.0,0.0,0.0
1679921202208,203.0005,0.0,2.8587,6.743600000000001,36.3,36.3,0.0,0.0,134282.815,134281.666,-0.0449,-0.1598,1.1,2.6,0.0,0.0,0.0,0.0
1679921202212,203.0005,0.0,2.9320000000000004,6.8169,36.3,36.3,0.0,0.0,134282.815,134281.666,-0.0449,-0.1598,1.1,2.6,0.0,2.5e-05,0.0,0.0625
1679921202216,203.0005,0.0,2.4922,7.183400000000001,36.3,36.3,0.0,0.0,134282.815,134281.666,-0.2101,-0.1598,1.1,2.6,0.0,-2.5e-05,0.0,-0.125
1679921202220,203.0005,0.0,2.7121,6.8902,36.3,36.3,0.0,0.0,134282.815,134281.666,-0.2101,-0.0125,1.1,2.6,0.0,0.0,0.0,0.0625
1679921202224,203.0005,0.0,2.7854,6.8169,36.3,36.3,0.0,0.0,134282.815,134281.666,-0.2101,-0.0125,1.1,2.6,0.0,2.5e-05,0.0,0.0625
1679921202228,203.0005,0.0,2.6388000000000003,6.743600000000001,36.3,36.3,0.0,0.0,134282.815,134281.666,-0.2101,-0.0125,1.1,2.6,0.0,-2.5e-05,0.0,-0.125
1679921202232,203.0005,0.0,2.4189000000000003,6.743600000000001,36.3,36.3,0.0,0.0,134282.815,134281.666,-0.2101,-0.0125,0.9,2.6,0.0,0.0,0.0,0.0625
1679921202236,203.0005,0.0,2.8587,6.743600000000001,36.3,36.3,0.0,0.0,134282.815,134281.666,-0.2101,-0.0125,0.9,2.7,0.0,0.0,0.0,0.0
1679921202240,203.0005,0.0,2.7854,6.6703,36.3,36.3,0.0,0.0,134282.815,134281.666,-0.2101,-0.0125,0.9,2.7,0.0,0.0,0.0,0.0
1679921202244,203.0005,0.0,2.7854,6.8902,36.3,36.3,0.0,0.0,134282.815,134281.666,-0.2101,-0.0125,0.9,2.7,0.0,0.0,0.0,0.0
1679921202248,203.0005,0.0,2.5655,6.963500000000001,36.3,36.3,0.0,0.0,134282.815,134281.666,-0.2101,-0.0125,0.9,2.7,0.0,0.0,0.0,0.0
1679921202252,203.0005,0.0,2.8587,6.963500000000001,36.3,36.3,0.0,0.0,134282.815,134281.666,-0.2101,-0.0125,0.9,2.7,0.0,0.0,0.0,0.0
1679921202256,203.0005,0.0,2.7121,6.523700000000001,36.3,36.3,0.0,0.0,134282.815,134281.666,-0.2101,-0.0125,0.9,2.7,0.0,0.0,0.0,0.0
1679921202260,203.0005,0.0,2.4922,6.8902,36.3,36.3,0.0,0.0,134282.815,134281.666,-0.2101,-0.0125,0.9,2.7,0.0,0.0,0.0,0.0
1679921202264,203.0005,0.0,2.8587,6.743600000000001,36.3,36.3,0.0,0.0,134282.815,134281.666,-0.2101,-0.0125,0.9,2.7,0.0,0.0,0.0,0.0
1679921202268,203.0005,0.0,2.7854,6.743600000000001,36.3,36.3,0.0,0.0,134282.815,134281.666,-0.2101,-0.0125,0.9,2.7,0.0,0.0,0.0,0.0
1679921202272,203.0005,0.0,2.7121,6.8169,36.3,36.3,0.0,0.0,134282.815,134281.666,-0.2101,-0.0125,0.9,2.7,0.0,0.0,0.0,0.0
1679921202276,203.0005,0.0,2.7854,6.597,36.3,36.3,0.0,0.0,134282.815,134281.666,-0.2101,-0.0125,0.9,2.7,0.0,0.0,0.0,0.0
1679921202280,203.0005,0.0,2.6388000000000003,7.1101,36.3,36.3,0.0,0.0,134282.815,134281.666,-0.2101,-0.0125,0.9,2.7,0.0,0.0,0.0,0.0
1679921202284,203.0005,0.0,2.6388000000000003,6.743600000000001,36.3,36.3,0.0,0.0,134281.163,134281.666,-0.2101,-0.0125,0.9,2.7,0.0,0.0,0.0,0.0
1679921202288,203.0005,0.0,2.8587,6.6703,36.3,36.3,0.0,0.0,134281.163,134283.139,-0.2101,-0.0125,0.9,2.7,0.0,0.0,0.0,0.0
1679921202292,203.0005,0.0,2.6388000000000003,6.8902,36.3,36.3,0.0,0.0,134281.163,134283.139,-0.2101,-0.0125,0.9,2.7,0.0,0.0,0.0,0.0
1679921202296,203.0005,0.0,2.7121,6.8902,36.3,36.3,0.0,0.0,134281.163,134283.139,-0.2101,-0.0125,0.9,2.7,0.0,0.0,0.0,0.0
1679921202300,203.0005,0.0,2.7121,6.8902,36.3,36.3,0.0,0.0,134281.163,134283.139,-0.2101,-0.0125,0.9,2.7,0.0,0.0,0.0,0.0
